iter	RMSE
0	0.05990993522
1	0.05872214526
2	0.05755768945
3	0.05641647796
4	0.05585402994
5	0.05474700331
6	0.05366229855
7	0.05259899107
8	0.05155697143
9	0.05053560864
10	0.04953444186
11	0.04855325323
12	0.04759166796
13	0.04664924504
14	0.04572548938
15	0.04482008036
16	0.04393260852
17	0.04306277489
18	0.04221028627
19	0.04137472309
20	0.04055569261
21	0.03975292806
22	0.03896619459
23	0.03819502288
24	0.0374391877
25	0.03669832233
26	0.03597214622
27	0.03526037462
28	0.0349107042
29	0.03422003491
30	0.03388082417
31	0.03354508148
32	0.03288152928
33	0.0322311337
34	0.03178468475
35	0.03115603678
36	0.03053984808
37	0.02993583265
38	0.02934380685
39	0.02893723553
40	0.02836500224
41	0.02780406496
42	0.02725425719
43	0.02671532929
44	0.02618705003
45	0.02566924011
46	0.02516168921
47	0.02491267976
48	0.0244201131
49	0.02393729573
50	0.02346403355
51	0.02300012371
52	0.02254540849
53	0.02209968782
54	0.02166278254
55	0.02123452699
56	0.02081474224
57	0.02040326171
58	0.01999991973
59	0.01960455836
60	0.01921700597
61	0.01883712977
62	0.0184647681
63	0.01809977067
64	0.01774199023
65	0.01739128796
66	0.01704751413
67	0.01687894796
68	0.01654531539
69	0.01638172164
70	0.01605792591
71	0.01574053037
72	0.01552303672
73	0.01521622614
74	0.01491548146
75	0.01462068664
76	0.01447615066
77	0.01433304326
78	0.01413419552
79	0.01399447533
80	0.0137178871
81	0.01344676595
82	0.01318100658
83	0.01292049882
84	0.01266514041
85	0.01241483236
86	0.01216947283
87	0.01204919024
88	0.01181105822
89	0.01157763395
90	0.01134882468
91	0.01112453805
92	0.01090468565
93	0.01068917925
94	0.01047793464
95	0.01027086466
96	0.01012877923
97	0.009928612364
98	0.009732402433
99	0.009540071027
100	0.009445788594
101	0.009259122694
102	0.009131358206
103	0.008950914789
104	0.008862457996
105	0.00868733047
106	0.008601478865
107	0.0084315106
108	0.00826490116
109	0.008150662642
110	0.007989607918
111	0.0078317375
112	0.007754344439
113	0.007601124644
114	0.007450933551
115	0.007303711135
116	0.007231537327
117	0.007088651105
118	0.006948590661
119	0.006851964118
120	0.006716572596
121	0.006583856057
122	0.006493105382
123	0.006364811328
124	0.006239056323
125	0.006115787365
126	0.005994952859
127	0.005876506512
128	0.005760403768
129	0.005646595415
130	0.005535035973
131	0.005425683673
132	0.005318492499
133	0.005213420656
134	0.005110426698
135	0.005009469541
136	0.004910507722
137	0.004813503479
138	0.004765941634
139	0.004671794374
140	0.00457950915
141	0.004489048537
142	0.004400375453
143	0.004356894856
144	0.004270835232
145	0.004186474526
146	0.00410378405
147	0.004022725912
148	0.003943272365
149	0.003865389666
150	0.003789047383
151	0.00375160934
152	0.003714542535
153	0.003641182004
154	0.003569271191
155	0.003498784021
156	0.003429690028
157	0.00336196346
158	0.003295575918
159	0.003230499011
160	0.003166709533
161	0.003104183301
162	0.003042895536
163	0.002982818197
164	0.002923930394
165	0.002866206682
166	0.002837889695
167	0.002781868407
168	0.002726954725
169	0.002673127286
170	0.002620365618
171	0.002568647149
172	0.002517950763
173	0.002482702781
174	0.002433697934
175	0.002385661932
176	0.002338576218
177	0.002292425656
178	0.002247184025
179	0.002202840026
180	0.00215937403
181	0.002116768717
182	0.002075005475
183	0.002034071366
184	0.001993945199
185	0.001954611633
186	0.001916061276
187	0.001878274341
188	0.00184123014
189	0.00180492505
190	0.001769337496
191	0.001734455625
192	0.001700262628
193	0.001666748667
194	0.001633897476
195	0.001601695967
196	0.001570132923
197	0.001539198318
198	0.001508874253
199	0.001479152764
200	0.001450022417
201	0.0014214698
202	0.001393480273
203	0.00136604814
204	0.001339160303
205	0.001312803638
206	0.001286973
207	0.001261654214
208	0.001236834339
209	0.001212509723
210	0.00118866858
211	0.001165298542
212	0.00114239583
213	0.001119945886
214	0.001097941894
